date,sessions,unique_visitors,page_views,Revenue,COGS,Revenue_per_session
2013-01-31,8915,6530,47230,3378679.46,2731823.14,378.98816152551876
2013-02-01,15758,11220,63433,4073777.92,3289266.58,258.5212539662394
2013-02-02,15027,12295,56597,2351969.75,1915236.16,156.51625407599653
2013-02-03,14372,10507,72606,2743224.75,2293960.05,190.8728604230448
2013-02-04,15623,12726,62972,3599084.22,2986552.92,230.3708775523267
2013-02-05,14177,11064,62917,3829186.14,3181079.49,270.0984792269168
2013-02-06,14103,10525,66736,2313071.08,1919077.04,164.01269800751615
2013-02-07,14761,10967,66344,2839296.13,2338660.54,192.35120452543865
2013-02-08,14467,10993,59452,2648161.4,2136088.4,183.04841363102233
2013-02-09,14578,10995,47223,2957587.36,2354253.06,202.8801865825216
2013-02-10,16602,12760,61322,3380985.73,2832001.18,203.64930309601252
2013-02-11,15063,11080,60064,4189315.44,3426089.62,278.11959370643297
2013-02-12,15368,11408,65858,3967295.55,3276616.25,258.1530160072879
2013-02-13,13346,9812,50414,3156812.35,2628245.52,236.5362168439982
2013-02-14,17180,13040,85934,3286622.13,2725794.93,191.30512980209545
2013-02-15,13633,10416,74873,2860640.37,2293142.09,209.83205237291867
2013-02-16,15360,12159,73050,3339909.75,2755975.45,217.442041015625
2013-02-17,14662,10421,77351,3433567.61,2907659.44,234.1813947619697
2013-02-18,13304,9946,43820,4473211.04,3823113.82,336.23053517739027
2013-02-19,16231,11522,82447,4318301.23,3421155.04,266.0526911465714
2013-02-20,14347,11037,75545,3392471.04,2787089.48,236.45856555377432
2013-02-21,14194,11525,54818,3412803.18,2676550.95,240.43984641397776
2013-02-22,15750,12758,61771,3535377.38,2908690.59,224.46840507936508
2013-02-23,14540,11603,61974,4286140.45,3439856.85,294.7826994497937
2013-02-24,13758,9915,63623,5419232.89,4431878.1,393.89685201337403
2013-02-25,13676,10852,72244,9128225.25,7430696.94,667.463092278444
2013-02-26,15824,11642,60025,6762535.71,5653323.87,427.35943566734073
2013-02-27,15908,11989,72791,5716765.68,4880975.48,359.3641991450842
2013-02-28,15284,11512,56308,4367566.41,3573846.75,285.7606915728867
2013-03-01,20573,15216,82066,2693901.21,2256905.73,130.94352841102415
2013-03-02,18275,14004,64834,279813.94,236576.31,15.311296306429549
2013-03-03,19075,15498,69465,1959484.08,1505793.8,102.72524665792923
2013-03-04,21760,16400,112923,1412869.43,1130489.5,64.92966130514705
2013-03-05,21169,15161,90533,2440470.72,1954056.55,115.28512069535643
2013-03-06,19422,13780,66932,3247761.18,2622451.1,167.22073833796728
2013-03-07,20205,14897,74215,4017685.67,3191424.08,198.8461108636476
2013-03-08,21327,17243,72483,3622255.55,2838056.23,169.84365124021193
2013-03-09,20046,15758,91235,3263371.09,2560913.71,162.79412800558714
2013-03-10,19505,15320,104073,3510986.19,2877727.07,180.0044188669572
2013-03-11,21480,15406,115544,3242639.13,2568418.97,150.9608533519553
2013-03-12,16857,13571,82314,3660190.99,2853606.73,217.1318140831702
2013-03-13,23166,18652,76524,4335373.37,3463021.54,187.1438042821376
2013-03-14,18997,14391,77150,6692797.3,5359353.2,352.3081170711165
2013-03-15,20137,15797,106673,5330057.69,4206775.58,264.68975964642203
2013-03-16,20761,16647,90756,3591734.21,2762570.88,173.003911661288
2013-03-17,17101,12496,79841,4401297.64,3565497.63,257.37077597801294
2013-03-18,22860,18012,120159,4567013.37,3743618.37,199.7818622047244
2013-03-19,17631,14247,85400,4645433.62,3929520.42,263.48100618229256
2013-03-20,21762,16804,116234,4992105.19,4308112.41,229.3955146585792
2013-03-21,22061,17031,119803,7355693.45,6496769.78,333.4252051130955
2013-03-22,20729,16912,71130,6603332.26,6021167.98,318.55527328862945
2013-03-23,21609,15589,92824,6009508.61,5393148.03,278.10211532231943
2013-03-24,20504,16771,96571,5088153.2,4610104.28,248.15417479516194
2013-03-25,16659,12105,60697,4694308.82,4169990.65,281.7881517498049
2013-03-26,20555,16341,109308,5731432.22,5192620.7,278.8339683775237
2013-03-27,16879,12285,56985,6872130.59,6081507.57,407.14086083298776
2013-03-28,18569,14393,98414,8099154.93,7239463.63,436.1653793957671
2013-03-29,19856,14231,93944,8381683.44,7644413.84,422.12346091861406
2013-03-30,21034,15942,82344,11636994.38,10600188.31,553.2468565180185
2013-03-31,21610,16402,74076,9455023.8,8513517.85,437.5300231374364
2013-04-01,24812,17641,117628,10313848.23,9188774.52,415.6798416088989
2013-04-02,26607,19633,99501,8250013.05,7374699.1,310.06926936520466
2013-04-03,26624,19598,107204,8740749.51,7769943.74,328.30339205228364
2013-04-04,21608,16833,111095,4270660.8,3779960.51,197.64257682339874
2013-04-05,32435,24802,158360,3073716.42,2637291.44,94.7654206875289
2013-04-06,32500,24533,108393,3663196.56,3221790.63,112.7137403076923
2013-04-07,27260,21972,126098,2924734.26,2598895.09,107.29032501834189
2013-04-08,30848,21771,155647,4670874.28,4351446.44,151.41578967842324
2013-04-09,25156,17669,137296,4293257.18,3845242.09,170.66533550643982
2013-04-10,29194,23157,116383,6011834.78,5327749.04,205.9270665205179
2013-04-11,29054,21204,96574,4244755.76,3794688.65,146.0988421559854
2013-04-12,24892,19582,95949,4282161.81,3850989.97,172.02964044672984
2013-04-13,27517,21818,149988,5214391.75,4691901.42,189.4971017916197
2013-04-14,23814,16876,78359,4506492.03,3873550.82,189.2370886873268
2013-04-15,30902,22373,159594,5167610.5,4514315.72,167.22576208659635
2013-04-16,27551,21877,99161,5887221.88,4755791.57,213.68450800333926
2013-04-17,29585,21004,94904,8104639.53,6617328.78,273.94421260774044
2013-04-18,24098,19494,113622,6536742.64,5253454.75,271.2566453647606
2013-04-19,27256,21981,90395,5871312.85,4657092.08,215.41359150278836
2013-04-20,21636,15934,90602,6012115.71,4722140.67,277.87556433721574
2013-04-21,24267,19025,133036,6323547.99,5021941.78,260.58218939300286
2013-04-22,28085,22427,141532,7292352.56,5866886.82,259.6529307459498
2013-04-23,27068,19210,88898,8757473.08,6907927.03,323.5360233486035
2013-04-24,33819,25856,134590,9358565.61,7286897.36,276.725083828617
2013-04-25,25153,20499,119550,9127283.0,7206948.14,362.87055222041107
2013-04-26,25454,18300,131458,6156392.84,4860244.05,241.86347293156282
2013-04-27,23854,17383,104436,6420235.09,5103697.51,269.1471069841536
2013-04-28,26593,20990,92764,9099343.31,7234100.22,342.1706204640319
2013-04-29,30100,21412,127202,13160942.22,10423989.71,437.24060531561463
2013-04-30,26638,20421,114824,11190466.86,8842281.65,420.0941084165478
2013-05-01,25484,20167,121645,13051232.31,10395426.51,512.1343709778685
2013-05-02,27523,21551,148318,11179665.29,8989067.99,406.19355775169856
2013-05-03,27201,20147,109468,8173550.12,6507576.59,300.4871188559244
2013-05-04,26616,18955,87588,3225175.57,2586608.79,121.1743150736399
2013-05-05,26820,19885,116224,3906711.0,3268319.42,145.66409395973153
2013-05-06,24933,19563,109347,4311626.38,3384442.35,172.92850358962016
2013-05-07,28589,21318,147402,3763332.37,3079887.85,131.6356770086397
2013-05-08,28654,20921,130897,5458168.5,4267785.48,190.48539470929015
2013-05-09,26771,19690,142781,5815611.07,4647084.74,217.23548130439656
2013-05-10,26830,19447,124787,4248246.45,3392369.6,158.33941297055534
2013-05-11,28668,21307,137833,4388803.6,3347274.34,153.0906795032789
2013-05-12,27438,22374,128020,4298069.68,3423974.02,156.6466098112107
2013-05-13,26357,19629,90559,4663488.62,3677688.54,176.9354865880032
2013-05-14,26056,20140,115695,5622176.45,4515976.68,215.77281432299662
2013-05-15,29084,22687,146585,6416011.44,5136196.06,220.6027864117728
2013-05-16,26638,19759,113183,7727680.05,6101584.58,290.0998592236654
2013-05-17,24122,18498,132379,6520355.77,5213542.1,270.30742765939806
2013-05-18,23202,17262,103657,5126131.05,4165368.61,220.93487845875356
2013-05-19,25148,20307,89419,5417543.03,4323889.4,215.42639693017338
2013-05-20,23328,18639,95417,5837064.06,4872375.63,250.21708076131685
2013-05-21,28407,22048,108703,5156527.79,4086850.49,181.52313831097968
2013-05-22,25706,19005,88509,6977473.78,5617374.39,271.43366451412123
2013-05-23,22398,17580,109248,9166919.02,7150676.62,409.273998571301
2013-05-24,25714,20338,120745,6670030.19,5242528.96,259.3929450882788
2013-05-25,26078,21237,92476,5054594.94,3916382.21,193.8260196334075
2013-05-26,29842,21470,103585,3649585.05,2889501.26,122.2969321761276
2013-05-27,25522,20808,123734,4403026.04,3471897.02,172.51884805266045
2013-05-28,25369,18149,102736,6274027.61,4977411.59,247.3107970357523
2013-05-29,23853,18613,85854,7359639.59,5841803.19,308.541466062969
2013-05-30,27287,20624,123833,12828293.48,10036927.65,470.1247289918276
2013-05-31,26902,19521,103623,13809349.18,11231361.14,513.3205404802617
2013-06-01,25458,18115,131842,13162597.88,10314262.16,517.0318909576558
2013-06-02,23735,17119,76080,12079925.72,9610953.04,508.9498934063619
2013-06-03,25536,19209,97821,9411997.25,7525850.2,368.5775865444862
2013-06-04,27334,19831,110854,5397308.75,4297393.33,197.45769920245849
2013-06-05,28445,21988,137505,6860958.96,5505167.85,241.20087748286167
2013-06-06,26397,18897,125873,5692902.11,4632206.37,215.6647387960753
2013-06-07,26823,18932,134357,3843507.28,2986865.05,143.29147671774223
2013-06-08,27553,21069,147243,3646959.35,2897196.14,132.36160672159113
2013-06-09,24891,19205,125165,3880132.51,3070545.08,155.88495882045717
2013-06-10,28861,23567,100856,4476887.83,3582347.82,155.1189435570493
2013-06-11,23368,17790,126304,5003847.86,3903592.44,214.13248288257446
2013-06-12,25933,21079,127206,7209020.15,5796177.46,277.98635522307484
2013-06-13,27752,19777,151236,6845836.24,5559998.61,246.67902277313348
2013-06-14,27755,21197,126500,4871516.57,3975403.65,175.5185217078004
2013-06-15,26928,21083,98828,5166292.57,4029821.84,191.85578468508618
2013-06-16,26115,18984,119810,5794009.15,4551326.63,221.86517901589127
2013-06-17,28092,21312,92163,5795298.96,4637293.92,206.29712943186672
2013-06-18,25085,19903,133701,6632615.61,5459331.17,264.4056452062986
2013-06-19,28632,23372,112269,7437341.02,6031157.35,259.756252444817
2013-06-20,25557,20425,116849,7078652.68,5515676.8,276.9751019290214
2013-06-21,29053,21451,103139,5526354.45,4396745.86,190.21630984752005
2013-06-22,26367,21250,113536,5117274.96,4111300.17,194.0787711912618
2013-06-23,27355,21580,146783,5844565.63,4855247.11,213.6562101992323
2013-06-24,26497,21120,97404,5243774.5,4800223.91,197.90068687021173
2013-06-25,29694,21606,125033,6728887.1,6142934.34,226.60763453896408
2013-06-26,27207,20220,127226,8817278.13,8290194.65,324.0812338736355
2013-06-27,26545,20261,100022,7748199.74,7462815.86,291.889234884159
2013-06-28,23891,17776,91798,6285354.21,6043485.1,263.08460131430246
2013-06-29,28947,21255,158795,9546012.78,9167617.84,329.7755477251528
2013-06-30,26808,20585,139193,7372318.59,7149429.97,275.00442367949864
2013-07-01,20717,14990,103616,6359864.53,6248239.94,306.9877168508954
2013-07-02,22158,16944,96216,7209130.33,6927420.38,325.35112961458617
2013-07-03,20624,16244,90498,8038680.63,7869401.17,389.77311045384016
2013-07-04,20224,15518,96547,2521315.44,2408274.98,124.66947389240507
2013-07-05,22308,16026,110365,2494107.65,2432073.97,111.80328357539895
2013-07-06,19852,14493,104084,2452372.43,2331799.51,123.53276395325409
2013-07-07,19573,15181,74366,2958215.01,2950992.63,151.13753691309455
2013-07-08,18865,14238,78747,2571901.18,2450996.77,136.33189398356745
2013-07-09,22779,18244,96006,4624825.33,4592718.95,203.0302177444137
2013-07-10,22911,17844,91089,3855254.64,3797797.81,168.27090218672254
2013-07-11,22159,15665,121194,5785320.61,5626075.87,261.08220632700034
2013-07-12,21395,17049,79697,6053300.71,5886949.95,282.93062444496377
2013-07-13,20990,16293,82169,4161301.31,3995435.41,198.25161076703193
2013-07-14,19989,14732,82309,4482102.22,4419156.67,224.22843664015207
2013-07-15,18587,13497,84767,4387240.36,4219310.04,236.03811050734387
2013-07-16,19711,16037,88626,4411030.39,4135243.61,223.78521586931154
2013-07-17,19882,14587,66793,4475453.64,4375610.63,225.1007765818328
2013-07-18,19517,13750,66929,6265533.39,6163756.55,321.0295327150689
2013-07-19,21059,16557,96682,6310739.5,5960928.51,299.6694762334394
2013-07-20,21432,15474,75600,4157746.85,3978173.28,193.99714678984697
2013-07-21,22930,16061,97731,4847680.2,4301699.27,211.41213257740952
2013-07-22,19228,13486,71073,5926190.4,5032346.99,308.2062825046807
2013-07-23,20992,16978,97061,4436778.28,3552350.42,211.35567263719514
2013-07-24,23873,18037,83203,7329505.1,5924978.27,307.02069702174003
2013-07-25,24318,18975,100129,6342757.31,4978292.65,260.82561518216954
2013-07-26,20769,14594,72595,6941436.71,5543496.22,334.22103664114786
2013-07-27,18198,12889,70117,4353958.13,3499528.32,239.25476041323222
2013-07-28,25026,18160,120386,6017516.42,4917333.26,240.45058818828417
2013-07-29,20760,15605,109067,8158241.16,6599164.67,392.9788612716763
2013-07-30,22570,17674,74423,7711378.77,7073525.07,341.6649875941515
2013-07-31,21645,16539,81092,10104475.36,10851542.12,466.8272284592284
2013-08-01,23532,17995,95876,10998208.4,12167214.07,467.3724460309366
2013-08-02,22089,17760,76290,7422715.15,9601836.11,336.03672189777717
2013-08-03,19760,15958,85952,5599602.67,7786528.35,283.3807019230769
2013-08-04,22135,16046,73001,5021938.29,7089757.76,226.87771809351705
2013-08-05,25518,20607,95149,2231563.34,3064145.21,87.45055803746375
2013-08-06,21270,15427,110319,2493225.51,3592496.3,117.2179365303244
2013-08-07,21729,17596,106146,2638845.23,3381813.66,121.44347323852915
2013-08-08,25048,20133,88852,3065089.0,4223344.7,122.36861226445225
2013-08-09,21871,16990,105802,2598855.08,3418548.13,118.82653193726853
2013-08-10,22931,17591,107729,1776113.02,2320738.01,77.45466922506651
2013-08-11,20544,15209,90834,2074476.53,2834815.33,100.97724542445484
2013-08-12,24576,17742,103910,1933036.01,2566277.36,78.65543660481771
2013-08-13,19843,14706,70310,2531884.21,3266499.42,127.59583782694149
2013-08-14,23377,16422,106286,2791478.67,3740726.27,119.4113303674552
2013-08-15,24562,17671,104078,3665019.45,4896607.22,149.21502524224414
2013-08-16,21594,15178,70937,3619170.1,4661015.06,167.60072705381126
2013-08-17,25258,19092,110262,3066137.96,4129676.85,121.39274526882572
2013-08-18,24646,19117,120067,2385617.18,2947242.18,96.79530877221457
2013-08-19,23836,16878,127242,2870843.18,3669528.41,120.44148263131399
2013-08-20,23145,16573,76874,2730112.88,3528369.0,117.95691855692374
2013-08-21,22174,17667,88785,2707776.73,3591906.04,122.11494227473618
2013-08-22,20674,16052,88395,3821233.2,5275320.79,184.83279481474315
2013-08-23,21969,16007,73448,3454696.96,4693020.59,157.2532641449315
2013-08-24,22020,16468,117994,2837188.07,4087795.83,128.84596139872843
2013-08-25,23027,18302,124556,3018860.44,3945685.24,131.1009006818083
2013-08-26,23617,17269,78791,3465971.03,4845153.03,146.75746411483252
2013-08-27,23901,18422,99962,3008572.56,3950990.04,125.8764302748839
2013-08-28,21366,17094,107444,3749158.5,4845899.79,175.47311148553777
2013-08-29,23147,16818,83676,6385124.62,8251851.88,275.8510657968635
2013-08-30,26500,20681,114458,5499141.72,7247803.25,207.51478188679243
2013-08-31,23963,18130,80783,6810100.27,8325085.12,284.19230772440847
2013-09-01,17091,12233,74574,6018993.92,6937336.62,352.17330290796326
2013-09-02,15376,12350,50005,5386759.65,5986639.99,350.33556516649327
2013-09-03,15581,10983,59990,4126941.12,3701795.41,264.8701058982094
2013-09-04,16020,12505,55806,5401049.96,4808183.3,337.1441922596754
2013-09-05,16582,13189,57021,3168900.6,2729766.04,191.1048486310457
2013-09-06,16237,13287,87609,2705040.33,2367475.06,166.59729814620928
2013-09-07,15613,12209,55336,2468479.29,2187848.67,158.10409850765387
2013-09-08,16962,13239,74004,3056823.21,2611808.27,180.21596568800848
2013-09-09,18127,13415,88280,3771227.87,3399993.99,208.0447878854747
2013-09-10,17160,14066,72179,5357130.97,4737093.81,312.18711946386946
2013-09-11,16910,11894,65138,4636476.74,4075727.91,274.1854961561207
2013-09-12,15632,11865,60436,3865949.23,3502787.78,247.30995585977482
2013-09-13,17916,12765,59697,3034568.95,2783517.1,169.37759265461042
2013-09-14,16694,12421,90074,3664631.38,3289032.18,219.51787348748053
2013-09-15,15207,11403,64405,3078369.62,2753095.6,202.43109226014337
2013-09-16,16977,12773,84823,3927167.34,3489729.16,231.32280968368968
2013-09-17,19210,15448,69626,5410121.46,4728526.43,281.6304768349818
2013-09-18,19581,14167,80144,4460453.69,3992756.75,227.7949895306675
2013-09-19,15000,11585,73236,2995364.48,2599191.98,199.69096533333334
2013-09-20,18009,13483,64698,3316913.08,3045593.87,184.18085845965908
2013-09-21,16298,12409,85777,3799564.88,3399323.86,233.13074487667197
2013-09-22,17457,13570,77141,3243304.2,2980813.06,185.78817666265684
2013-09-23,13116,10363,70856,4426354.9,3977701.82,337.4775007624276
2013-09-24,18830,14326,90846,4673257.46,4051335.39,248.18149017525226
2013-09-25,16433,12462,72743,4851490.55,4336304.71,295.2285370900018
2013-09-26,16255,11501,53823,4120039.5,3761711.17,253.46290372193172
2013-09-27,15631,12772,85398,4676571.41,4202205.54,299.1856829377519
2013-09-28,19359,15652,74052,7035889.97,6246182.51,363.44284157239525
2013-09-29,19815,14640,88791,5087376.98,4359895.07,256.7437284885188
2013-09-30,17778,13505,90690,5768935.23,5117966.77,324.49855045561935
2013-10-01,13710,9680,52584,5389130.81,4591599.54,393.08029248723557
2013-10-02,12941,9851,71024,5393969.29,4651419.05,416.8124016691137
2013-10-03,13080,9748,44993,2026611.74,1672946.51,154.9397354740061
2013-10-04,15477,12022,78604,2912944.43,2284930.64,188.21117981520968
2013-10-05,13994,10098,68009,2463961.82,1952842.64,176.07273259968557
2013-10-06,14105,11490,70993,2875234.12,2170808.86,203.8450280042538
2013-10-07,12570,9552,45109,2084519.3,1674894.34,165.83287987271282
2013-10-08,13093,10025,58429,2982770.86,2404722.52,227.81416482089665
2013-10-09,12218,9764,50149,3524600.98,2822967.5,288.4760991979047
2013-10-10,13055,10029,43148,4018321.34,3267316.51,307.7994132516277
2013-10-11,13725,9778,64212,1938342.36,1556262.82,141.22713005464482
2013-10-12,13023,10257,64771,3170838.37,2562812.71,243.47987176533826
2013-10-13,13045,9157,51450,3719451.39,2946745.46,285.124675354542
2013-10-14,14459,11334,50446,3097590.81,2398025.79,214.23271388062798
2013-10-15,13895,11304,65905,4062456.23,3281418.54,292.3682065491184
2013-10-16,12929,9667,64283,4801027.51,3944302.72,371.33788460051045
2013-10-17,12216,9304,57228,3348412.32,2713865.33,274.1005500982318
2013-10-18,12323,9163,60959,3238854.55,2560313.88,262.8300373285726
2013-10-19,11963,9407,54624,3376648.2,2769325.22,282.25764440357773
2013-10-20,14009,10602,54466,2888479.98,2302148.44,206.1874494967521
2013-10-21,12745,9506,53990,3409990.75,2751364.44,267.55517850137306
2013-10-22,14589,10511,47642,3932052.89,3189287.97,269.5217554321749
2013-10-23,13717,10722,60164,4895108.72,3861527.06,356.8643814245097
2013-10-24,12783,9260,50277,4333852.18,3403031.49,339.0324790737698
2013-10-25,12510,9642,46132,3503713.92,2743366.59,280.0730551558753
2013-10-26,12422,8842,45914,2923604.47,2331573.03,235.35698518757044
2013-10-27,13304,10333,64827,2949737.88,2365410.99,221.71812086590498
2013-10-28,14257,11502,64149,3235799.73,2588267.2,226.9621750718945
2013-10-29,15101,11332,69384,5981959.98,4833162.34,396.1300562876631
2013-10-30,11718,8876,59818,6960811.52,5563340.73,594.0272674517836
2013-10-31,15782,12006,85169,5649038.29,4525813.51,357.9418508427322
2013-11-01,13644,10009,46358,4823330.61,3780905.84,353.5129441512753
2013-11-02,11668,9313,57812,4871579.51,3874376.58,417.51624185807333
2013-11-03,11609,8407,59878,2310551.56,1894570.42,199.0310586613834
2013-11-04,10715,8320,47693,2638652.15,2128739.96,246.25778348110126
2013-11-05,11604,8132,44253,3529966.51,2818098.89,304.2025603240262
2013-11-06,10138,7332,55455,2440647.75,1890461.99,240.74252811205366
2013-11-07,9896,7936,41435,2145217.46,1755584.37,216.7762186742118
2013-11-08,11835,9472,50627,2200221.02,1790704.8,185.90798648077737
2013-11-09,11950,8786,61115,2018930.67,1594615.53,168.94817322175732
2013-11-10,11694,8912,52770,2722218.97,2099682.78,232.78766632461094
2013-11-11,12691,10310,49619,3495969.18,2676318.51,275.4683775904184
2013-11-12,10332,7718,56650,5162437.56,3979066.87,499.6552032520325
2013-11-13,10669,7530,43743,4681263.25,3622930.35,438.7724482144531
2013-11-14,10545,7419,41667,3118904.74,2460188.52,295.77095685158844
2013-11-15,10155,8283,45684,3370811.62,2719077.99,331.9361516494338
2013-11-16,10651,7729,53104,3365890.12,2733920.22,316.01634776077367
2013-11-17,12887,10510,44818,2416530.15,1906202.04,187.51688911305968
2013-11-18,12188,9286,39130,2109164.6,1778409.36,173.05255989497869
2013-11-19,11008,8981,50511,3237660.32,2746026.34,294.11885174418603
2013-11-20,11167,9011,38482,3321114.32,2983892.23,297.404344944927
2013-11-21,11384,9190,49377,2595234.4,2362389.95,227.97210119465916
2013-11-22,11413,9153,40833,2550262.64,2542345.82,223.45243494260933
2013-11-23,11180,8348,47452,2054330.57,2011741.48,183.75049821109124
2013-11-24,11573,8198,52687,2519706.85,2537974.67,217.72287652294133
2013-11-25,11593,9021,39009,2406331.38,2358037.25,207.567616665229
2013-11-26,12310,9377,51458,3107204.99,3083734.78,252.41307798537775
2013-11-27,12543,10098,65740,3123410.59,3027393.58,249.01623136410745
2013-11-28,10476,7994,55311,3580033.44,3514991.8,341.73667812142037
2013-11-29,11266,8171,45345,1768057.43,1773822.57,156.93746050062134
2013-11-30,11143,8100,53974,2685677.46,2672025.29,241.01924616351073
2013-12-01,12906,9103,46795,2391698.09,2420438.06,185.31675887184255
2013-12-02,12341,9953,43684,2263746.75,2226485.61,183.43300785997894
2013-12-03,14986,12043,65628,1933337.47,1904782.57,129.00957360202855
2013-12-04,13847,10991,54490,2924599.17,2877557.67,211.20814400231097
2013-12-05,12296,8669,53642,2231578.75,2246889.53,181.4881872153546
2013-12-06,12192,9853,54072,1718341.54,1744505.5,140.9400869422572
2013-12-07,12562,8902,51547,1444180.43,1408359.66,114.96421190893169
2013-12-08,13175,9415,45023,1714762.98,1677034.75,130.15278785578747
2013-12-09,14634,10378,61409,1959405.6,1928205.78,133.8940549405494
2013-12-10,14413,10733,46851,2256213.74,2198430.55,156.540188718518
2013-12-11,13334,9646,50387,3016597.65,3024225.14,226.23351207439626
2013-12-12,13714,10039,62414,2988571.87,2946591.17,217.92123887997667
2013-12-13,13337,9763,69039,2131538.29,2083673.81,159.8214208592637
2013-12-14,12138,9093,60465,2245758.87,2305729.18,185.01885565991103
2013-12-15,12391,10022,52207,2154695.59,2095032.07,173.89198531191994
2013-12-16,12596,9700,58261,2694197.04,2720062.14,213.8930644649095
2013-12-17,13408,10752,57040,3167410.81,3021649.06,236.23290647374702
2013-12-18,13825,10901,72395,3189533.36,3219583.56,230.70765714285713
2013-12-19,13925,11168,63968,3062553.19,2981811.67,219.93200646319568
2013-12-20,10678,8634,38513,2500743.7,2516358.41,234.19588874321036
2013-12-21,11879,8813,56301,3213344.27,3159953.94,270.50629430086707
2013-12-22,13955,9944,47679,3476225.97,3458589.82,249.10254174131137
2013-12-23,13029,10369,52511,2932660.62,2856672.71,225.087160948653
2013-12-24,12470,9370,54463,2629786.52,2542278.8,210.8890553327987
2013-12-25,13141,10384,67446,3807864.44,3711704.9,289.7697618141694
2013-12-26,13040,9292,57219,3278628.42,3269160.78,251.4285598159509
2013-12-27,12152,8597,59360,1853472.36,1854636.14,152.5240585911784
2013-12-28,13571,10335,71175,3547336.16,3487806.62,261.39091887112227
2013-12-29,14050,11493,56883,6516622.75,6506519.56,463.81656583629893
2013-12-30,11723,8674,59465,5792994.45,5695206.04,494.15631237737784
2013-12-31,14417,11430,46209,6247467.59,6080338.22,433.34033363390444
2014-01-01,10162,8295,36165,5743739.48,5563113.31,565.2174257036017
2014-01-02,12776,10056,46028,3787850.5,3666330.68,296.48172354414527
2014-01-03,10230,8247,42607,2354832.6,1871645.41,230.18891495601173
2014-01-04,11496,8503,57148,2243604.06,1747621.88,195.16388830897705
2014-01-05,8870,6926,44512,2361866.5,1851453.14,266.27581736189404
2014-01-06,10178,7568,55426,2639202.87,2146455.69,259.3046639811358
2014-01-07,10724,7860,45535,3437125.39,2809411.95,320.5077760164118
2014-01-08,11340,9281,41050,2250519.73,1808614.16,198.4585299823633
2014-01-09,12137,9810,46390,2214274.18,1884156.18,182.43999176073166
2014-01-10,10545,8273,53901,1886360.71,1560748.05,178.88674348032242
2014-01-11,11306,9172,52326,2550841.93,2031865.95,225.618426499204
2014-01-12,10212,7242,48240,2172729.29,1773388.32,212.76236682334508
2014-01-13,11373,8627,58511,2467719.52,1991302.84,216.98052580673524
2014-01-14,9693,7471,36668,3356963.59,2731972.75,346.32864850923346
2014-01-15,10310,7878,44709,3637788.72,2842296.43,352.8408069835112
2014-01-16,11632,8624,55483,2005770.41,1635446.76,172.43555794360384
2014-01-17,10035,7721,34898,2464459.86,2002144.2,245.58643348281015
2014-01-18,11008,7875,51195,1718246.3,1332157.65,156.0906885901163
2014-01-19,10951,8766,39504,2453121.94,1918965.99,224.0089434754817
2014-01-20,10678,8033,41933,3133739.97,2422846.03,293.47630361490917
2014-01-21,12658,10040,58632,3590697.9,2848601.86,283.67024016432293
2014-01-22,11638,9145,51241,3244854.06,2563525.38,278.8154373603712
